name,state,city,mascot,league,sport,class,subclass_one,sublcass_two,subclass_three,native_animal,present
Chicago Bulls,Illinois,Chicago,Bulls,NBA,basketball,animal,mammal,large mammal,,domesticated,no
Cleveland  Cavaliers,Ohio,Cleveland ,Cavaliers,NBA,basketball,people,historic,,,,
Dallas Mavericks,Texas,Dallas,Mavericks,NBA,basketball,people,historic,regional,,,
Denver Nuggets,Colorado,Denver,Nuggets,NBA,basketball,geography,geology,,,,
Detroit Pistons,Michigan,Detroit,Pistons,NBA,basketball,technology,regional,,,,
Golden State Warriors,California,San Francisco,Warriors,NBA,basketball,people,historic,,,,
Houston Rockets,Texas,Houston,Rockets,NBA,basketball,technology,regional,,,,
Indiana Pacers,Indiana,Indianapolis,Pacers,NBA,basketball,technology,regional,,,,
Los Angeles Clippers,California,Los Angeles,Clippers,NBA,basketball,technology,regional,,,,
Los Angeles Lakers,California,Los Angeles,Lakers,NBA,basketball,geography,regional,,,,
Memphis Grizzlies,Tennessee,Memphis,Grizzlies,NBA,basketball,animal,mammal,large mammal,,no,no
Miami Heat,Florida,Miami,Heat,NBA,basketball,weather,regional,,,,
Milwaukee Bucks,Wisconsin,Milwaukee,Bucks,NBA,basketball,animal,mammal,large mammal,herbivore,yes,yes
Minnesota Timberwolves,Minnesota,Minneapolis,Timberwolves,NBA,basketball,animal,mammal,large mammal,carniovore,yes,yes
New Orleans Hornets,Louisana,New Orleans,Hornets,NBA,basketball,animal,insect,,,yes,yes
New York Knicks,New York,New York,Knicks,NBA,basketball,people,historic,,,,
Oklahoma City Thunder,Oklahoma,Oklahoma City,Thunder,NBA,basketball,weather,,,,,
Orlando Magic,Florida,Orlando,Magic,NBA,basketball,concept,mythologic,,,,
Philadelphia Sixers,Pennsylvania,Philadelphia,Sixers,NBA,basketball,people,historic,,,,
Phoenix Sun,Arizona,Phoenix,Sun,NBA,basketball,weather,,,,,
Portland Trail Blazors,Oregon,Portland,Trail Blazors,NBA,basketball,people,historic,,,,
Sacremento Kings,California,Sacremento,Kings,NBA,basketball,people,historic,,,,
San Antonio Spurs,Texas,San Antonio,Spurs,NBA,basketball,technology,,,,,
Utah Jazz,Utah,Salt Lake City,Jazz,NBA,basketball,concept,,,,,
Washington Wizards,DC,DC,Wizards,NBA,basketball,people,mythologic,,,,
Boston Bruins,Massachusetts,Boston,Bruins,NHL,hockey,animal,mammal,large mammal,,yes,yes
Buffalo Sabres,New York,Buffalo,Sabres,NHL,hockey,technology,name the team contest,,,,
Detroit Red Wings,Michigan,Detroit,Red Wings,NHL,hockey,other,,,,,
Florida Panthers,Florida,Miami,Panthers,NHL,hockey,animal,mammal,large mammal,carniovore,yes,yes
Montreal Canadiens,Quebec,Montreal,Canadiens,NHL,hockey,people,regional,,,,
Ottawa Senators,Ontario,Ottawa,Senators,NHL,hockey,people,political,,,,
Tampa Bay Lightning,Florida,Tampa Bay,Lightning,NHL,hockey,weather,,,,,
Toronto Maple Leafs,Ontario,Toronto,Maple Leafs,NHL,hockey,plant,,,,,
Carolina Hurricanes,North Carolina,Raleigh,Hurricanes,NHL,hockey,weather,,,,,
Columbus Blue Jackets,Ohio,Columbus,Blue Jackets,NHL,hockey,apparel,,,,,
New Jersey Devils,New Jersey,New Jersey,Devils,NHL,hockey,people,mythologic,,,,
New York Islanders,New York,New York,Islanders,NHL,hockey,people,regional,,,,
New York Rangers,New York,New York,Rangers,NHL,hockey,people,historic person,,,,
Philadelphia Flyers,Pennsylvania,Philadelphia,Flyers,NHL,hockey,technology,name the team contest,,,,
Pittsburgh Penguins,Pennsylvania,Pittsburgh,Penguins,NHL,hockey,animal,bird,other,,no,no
Washington Capitals,DC,DC,Capitals,NHL,hockey,geography,poitical,,,,
Chicago Blackhawks,Illinois,Chicago,Blackhawks,NHL,hockey,people,native american,,,,
Colorado Avalanche,Colorado,Denver,Avalanche,NHL,hockey,geography,,,,,
Dallas Stars,Texas,Dallas,Stars,NHL,hockey,space,,,,,
Minnesota Wild,Minnesota,Minnesota,Wild,NHL,hockey,concept,,,,,
Nashville Predators,Tennessee,Nashville,Predators,NHL,hockey,animal,mammal,large mammal,extinct,yes,no
St. Louis Blues,Missouri,St. Louis,Blues,NHL,hockey,concept,music,,,,
Winnipeg Jets,Manitoba,Winnipeg,Jets,NHL,hockey,technology,,,,,
Anaheim Ducks,California,Anaheim,Ducks,NHL,hockey,animal,bird,other,,yes,yes
Arizona Coyotes,Arizona,Phoenix,Coyotes,NHL,hockey,animal,mammal,small mammal,carniovore,yes,yes
Calgary Flames,Alberta,Calgary,Flames,NHL,hockey,event,historic,,,,
Edmonton Oilers,Alberta,Edmonton,Oilers,NHL,hockey,people,occupation,,,,
Los Angeles Kings,California,Los Angeles,Kings,NHL,hockey,people,historic,,,,
San Jose Sharks,California,San Jose,Sharks,NHL,hockey,animal,fish,,,yes,yes
Vancouver Canucks,British Columbia,Vancouver,Canucks,NHL,hockey,people,regional,,,,
Vegas Golden Knights,Nevada,Las Vegas,Golden Knights,NHL,hockey,people,owner liked it,,,,
Atlanta Dream,Georgia,Atlanta,Dream,WNBA,basketball,concept,,,,,
Chicago Sky,Illinois,Chicago,Sky,WNBA,basketball,weather,,,,,
Connecticut Sun,Connecticut,Norwich,Sun,WNBA,basketball,space,,,,,
Dallas Wings,Texas,Dallas,Wings,WNBA,basketball,concept,,,,,
Indiana Fever,Indiana,Indianapolis,Fever,WNBA,basketball,concept,,,,,
Las Vegas Stars,Nevada,Las Vegas,Stars,WNBA,basketball,space,,,,,
Los Angeles Sparks,California,Los Angeles,Sparks,WNBA,basketball,concept,,,,,
Minnesota Lynx,Minnesota,Minneapolis,Lynx,WNBA,basketball,animal,mammal,large mammal,carniovore,yes,yes
New York Liberty,New York,New York,Liberty,WNBA,basketball,concept,,,,,
Phoenix Mercury,Arizona,Phoenix,Mercury,WNBA,basketball,weather,,,,,
Seattle Storm,Washington,Seattle,Storm,WNBA,basketball,weather,,,,,
Washington Mystics,DC,DC,Mystics,WNBA,basketball,people,mythologic,,,,
New York Red Bulls,New York,New York,Red Bulls,MLS,soccer,product,,,,,
Kansas City Sporting,Missouri,Kansas City,Sporting,MLS,soccer,concept,,,,,
Colorado Rapids,Colorado,Denver,Rapids,MLS,soccer,geography,,,,,
Columbus Crew,Ohio,Columbus,Crew,MLS,soccer,people,occupation,,,,
New England Revolution,Massachusetts,Boston,Revolution,MLS,soccer,concept,,,,,
San Jose Earthquakes,California,San Jose,Earthquakes,MLS,soccer,geography,,,,,
Chicago Fire,Illinois,Chicago,Fire,MLS,soccer,event,historic,,,,
Los Angeles Galaxy,California,Los Angeles,Galaxy,MLS,soccer,space,,,,,
DC United,DC,DC,United,MLS,soccer,concept,,,,,
Portland Timbers,Oregon,Portland,Timbers,MLS,soccer,plant,,,,,
Montreal Impact,Quebec,Montreal,Impact,MLS,soccer,concept,,,,,
Vancouver Whitecaps,British Columbia,Vancouver,Whitecaps,MLS,soccer,geography,,,,,
Houston Dynamo,Texas,Houston,Dynamo,MLS,soccer,concept,,,,,
Salt Lake Real,Utah,Salt Lake,Real,MLS,soccer,other,,,,,
Dallas FC,Texas,Dallas,FC,MLS,soccer,other,,,,,
Toronto FC,Ontario,Toronto,FC,MLS,soccer,other,,,,,
Seattle Sounders,Washington,Seattle,Sounders,MLS,soccer,geography,,,,,
Philadelphia Union,Pennsylvania,Philadelphia,Union,MLS,soccer,other,,,,,
Orlando SC,Florida,Orlando,SC,MLS,soccer,other,,,,,
Minnesota United,Minnesota,Minneapolis,United,MLS,soccer,other,,,,,
New York FC,New York,New York,FC,MLS,soccer,other,,,,,
Atlanta United,Georgia,Atlanta,United,MLS,soccer,other,,,,,
North Carolina Courage,North Carolina,Cary,Courage,WNLS,soccer,concept,,,,,
Portland Thorns,Oregon,Portland,Thorns,WNLS,soccer,plant,,,,,
Orlando Pride,Florida,Orlando,Pride,WNLS,soccer,concept,,,,,
Chicago Red Stars,Illinois,Chicago,Red Stars,WNLS,soccer,space,,,,,
Seattle Reign,Washington,Seattle,Reign,WNLS,soccer,concept,,,,,
Sky Blue FC,New Jersey,Sky Blue,Sky Blue,WNLS,soccer,weather,,,,,
Kansas City FC,Missouri,Kansas City,FC,WNLS,soccer,other,,,,,
Houston Dash,Texas,Houston,Dash,WNLS,soccer,concept,,,,,
Boston Breakers,Massachusetts,Boston,Breakers,WNLS,soccer,geography,,,,,
Washington Spirit,DC,DC,Spirit,WNLS,soccer,concept,,,,,
